Date,Meeting,Agenda Link,Minutes Link
1994-09-21,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1994/agendas_0017.pdf,http://boardarchives.metro.net/Minutes/1994/minutes_0374.pdf
1994-09-21,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1994/agenda_0005.pdf,http://boardarchives.metro.net/Minutes/1994/minutes_0375.pdf
1994-10-11,Special Board Meeting,http://boardarchives.metro.net/Agendas/1994/agendas_0019.pdf,
1994-10-26,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1994/agendas_0021.pdf,http://boardarchives.metro.net/Minutes/1994/minutes_0376.pdf
1994-11-16,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1994/agendas_0024.pdf,
1994-12-21,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1994/agendas_0026.pdf,
1995-01-25,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1995/agenda_0189.pdf,http://boardarchives.metro.net/Minutes/1996/minutes_0184.pdf
1995-02-22,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1995/agenda_0186.pdf,http://boardarchives.metro.net/Minutes/1995/Item%201.pdf
1995-03-22,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1995/agenda_0183.pdf,http://boardarchives.metro.net/Minutes/1996/minutes_0181.pdf
1995-04-26,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1995/agenda_0094.pdf,http://boardarchives.metro.net/Minutes/1995/minutes_0088.pdf
1995-05-24,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1995/agenda_0093.pdf,http://boardarchives.metro.net/Minutes/1995/minutes_0092.pdf
1995-05-24,Special Board Meeting,http://boardarchives.metro.net/Agendas/1995/agenda_0085.pdf,http://boardarchives.metro.net/Minutes/1995/minutes_0095.pdf
1995-06-15,Special Board Meeting,http://boardarchives.metro.net/Agendas/1995/agenda_0096.pdf,http://boardarchives.metro.net/Minutes/2005/06-June/1A.pdf
1995-06-28,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1995/agenda_0091.pdf,http://boardarchives.metro.net/Minutes/2005/06-June/1B.pdf
1995-07-19,Special Board Meeting,,http://boardarchives.metro.net/Minutes/1996/minutes_0154.pdf
1995-07-26,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1995/agenda_0147.pdf,http://boardarchives.metro.net/Minutes/1995/july1995.pdf
1995-08-01,Special Board Meeting,http://boardarchives.metro.net/Agendas/1995/agenda_0131.pdf,http://boardarchives.metro.net/Minutes/1995/minutes_0128.pdf
1995-08-10,Special Board Meeting,,http://boardarchives.metro.net/Minutes/1995/minutes_0126.pdf
1995-08-30,Special Board Meeting,http://boardarchives.metro.net/Agendas/1995/agenda_0132.pdf,
1995-09-07,Special Board Meeting,http://boardarchives.metro.net/Agendas/1995/agenda_0229.pdf,
1995-09-27,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1995/agenda_0114.pdf,http://boardarchives.metro.net/Minutes/1995/minutes_0151.pdf
1995-10-25,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1995/agenda_0155.pdf,http://boardarchives.metro.net/Minutes/1995/Oct1995min.pdf
1995-11-15,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1995/agenda_0055.pdf,http://boardarchives.metro.net/Minutes/1996/minutes_0168.pdf
1995-12-20,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1995/agenda_0202.pdf,http://boardarchives.metro.net/Minutes/1996/minutes_0185.pdf
1995-12-20,Special Board Meeting,http://boardarchives.metro.net/Agendas/1995/agenda_0201.pdf,http://boardarchives.metro.net/Minutes/1996/minutes_0204.pdf
1996-01-24,Regular Board Meeting,,http://boardarchives.metro.net/Minutes/1996/minutes_A_0513.pdf
1996-02-15,Special Board Meeting,"http://boardarchives.metro.net/Agendas/1996/2,1996agenda.pdf
http://boardarchives.metro.net/Agendas/1996/agenda_A_0991.pdf",http://boardarchives.metro.net/Minutes/1996/minutes_A_0992.pdf
1996-02-28,Regular Board Meeting,"http://boardarchives.metro.net/Agendas/1996/agenda_A_0546.pdf
http://boardarchives.metro.net/Agendas/1996/agenda_A_0434.pdf
http://boardarchives.metro.net/Agendas/1996/agenda_A_0989.pdf",http://boardarchives.metro.net/Minutes/1996/minutes_A_0454.pdf
1996-03-06,Regular Board Meeting,http://boardarchives.metro.net/Agendas/1996/agenda_A_0560.pdf,http://boardarchives.metro.net/Minutes/1996/minutes_A_1423.pdf
1996-03-21,Special Board Meeting,http://boardarchives.metro.net/Agendas/1996/agenda_A_0579.pdf,http://boardarchives.metro.net/Minutes/1996/minutes_A_1424.pdf
